semestre,Catalunya,sexe,edat,concepte,estat,valor
S1/1995,Catalunya,dones,de 0 a 15 anys,població,,497456
S1/1995,Catalunya,dones,de 16 a 64 anys,població,,2059885
S1/1995,Catalunya,dones,65 anys o més,població,,561335
S1/1995,Catalunya,dones,total,població,,3118676
S1/1995,Catalunya,total,de 0 a 15 anys,població,,1021505
S1/1995,Catalunya,total,de 16 a 64 anys,població,,4121362
S1/1995,Catalunya,total,65 anys o més,població,,958116
S1/1995,Catalunya,total,total,població,,6100983
S2/1995,Catalunya,homes,de 0 a 15 anys,població,,514539
S2/1995,Catalunya,homes,de 16 a 64 anys,població,,2064953
S2/1995,Catalunya,homes,65 anys o més,població,,402846
S2/1995,Catalunya,homes,total,població,,2982338
S2/1995,Catalunya,dones,de 0 a 15 anys,població,,489797
S2/1995,Catalunya,dones,de 16 a 64 anys,població,,2062614
S2/1995,Catalunya,dones,65 anys o més,població,,568131
S2/1995,Catalunya,dones,total,població,,3120542
S2/1995,Catalunya,total,de 0 a 15 anys,població,,1004336
S2/1995,Catalunya,total,de 16 a 64 anys,població,,4127567
S2/1995,Catalunya,total,65 anys o més,població,,970977
S2/1995,Catalunya,total,total,població,,6102880
S1/1996,Catalunya,homes,de 0 a 15 anys,població,,505030
S1/1996,Catalunya,homes,de 16 a 64 anys,població,,2068408
S1/1996,Catalunya,homes,65 anys o més,població,,408929
S1/1996,Catalunya,homes,total,població,,2982367
S1/1996,Catalunya,dones,de 0 a 15 anys,població,,482115
S1/1996,Catalunya,dones,de 16 a 64 anys,població,,2065309
S1/1996,Catalunya,dones,65 anys o més,població,,574938
S1/1996,Catalunya,dones,total,població,,3122362
S1/1996,Catalunya,total,de 0 a 15 anys,població,,987145
S1/1996,Catalunya,total,de 16 a 64 anys,població,,4133717
S1/1996,Catalunya,total,65 anys o més,població,,983867
S1/1996,Catalunya,total,total,població,,6104729
S2/1996,Catalunya,homes,de 0 a 15 anys,població,,497830
S2/1996,Catalunya,homes,de 16 a 64 anys,població,,2071126
S2/1996,Catalunya,homes,65 anys o més,població,,414179
S2/1996,Catalunya,homes,total,població,,2983135
